"year","TotalPerros","TotalGatos","pm1a","gm1a","pMd","pMc","pControl"
2016,16825437,2439632,0.331443393140133,0.502364708397164,0.421396219578477,0.476897982807495,0.0208160418062247
2017,16852762,2471980,0.34281243818579,0.529870713689825,0.396253173041713,0.471560695112332,0.017632421320612
2018,16574093,2543796,0.349325192146949,0.543540908544271,0.390250728945606,0.483941967679038,0.0162410093873613
2019,16013463,2628150,0.340668121194903,0.543056449155125,0.370585229035732,0.477149066010104,0.0150597032009878
2020,12432668,2491797,0.352052126015987,0.552390795335774,0.412577754348972,0.518002127282397,0.0136187180418555
