,,,053 ZOONOSIS-RABIA PERSONAS AGREDIDAS,188 PREVENCIÓN Y CONTROL DE RABIA ANIMALES VACUNADOS,,,,,,,189 PREVENCIÓN Y CONTROL DE RABIA ANIMALES EN CONTROL,,,190 PREVENCIÓN Y CONTROL DE RABIA ANIMALES ESTERILIZADOS,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total
,,,,RAV09 PERRO AUTORIDAD LOCAL,RAV10 PERRO GRUPOS DE LA COMUNIDAD,RAV14 GATO AUTORIDAD LOCAL,RAV15 GATO GRUPOS DE LA COMUNIDAD,RAV16 PERRO SSA,RAV17 GATO SSA,Total,RAE03 CENTRO DE ATENCIÓN CANINA,RAE04 AUTORIDAD LOCAL,Total,RAM21 PERRO MACHO MENOR DE UN AÑO SSA,RAM22 PERRO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM23 PERRO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM24 PERRO MACHO UN AÑO Y MÁS SSA,RAM25 PERRO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM26 PERRO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM27 PERRO HEMBRA MENOR DE UN AÑO SSA,RAM28 PERRO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM29 PERRO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM30 PERRO HEMBRA UN AÑO Y MÁS SSA,RAM31 PERRO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM32 PERRO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM33 GATO MACHO MENOR DE UN AÑO SSA,RAM34 GATO MACHO MENOR DE UN AÑO AUTORIDAD LOCAL,RAM35 GATO MACHO MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM36 GATO MACHO UN AÑO Y MÁS SSA,RAM37 GATO MACHO UN AÑO Y MÁS AUTORIDAD LOCAL,RAM38 GATO MACHO UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,RAM39 GATO HEMBRA MENOR DE UN AÑO SSA,RAM40 GATO HEMBRA MENOR DE UN AÑO AUTORIDAD LOCAL,RAM41 GATO HEMBRA MENOR DE UN AÑO GRUPOS DE LA COMUNIDAD,RAM42 GATO HEMBRA UN AÑO Y MÁS SSA,RAM43 GATO HEMBRA UN AÑO Y MÁS AUTORIDAD LOCAL,RAM44 GATO HEMBRA UN AÑO Y MÁS GRUPOS DE LA COMUNIDAD,Total,
Entidad,Jurisdicción,Municipio,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,7  TANCANHUITZ,3   AQUISMÓN,43,,5224,,1670,6079,1467,14440,,8,8,29,,,56,,,47,,,82,,,11,,,19,,,37,,,23,,,304,14795
,,12  TANCANHUITZ,3,,2338,,621,2462,650,6071,,5,5,4,,,11,,1,6,,,43,,3,1,,,8,,,2,,,26,,,105,6184
,,14  COXCATLÁN,18,,1737,,460,2779,459,5435,,3,3,23,,,52,,,13,,,73,,,12,,,14,,,5,,,9,,,201,5657
,,18  HUEHUETLÁN,15,,2187,,665,2085,527,5464,,3,3,2,,2,20,,4,11,,3,15,,12,4,,2,7,,4,1,,1,3,,1,92,5574
,,26  SAN ANTONIO,8,,1534,,375,1066,299,3274,,1,1,1,,5,2,,11,1,,4,5,,19,,,1,1,,2,,,2,,,7,61,3344
,,34  SAN VICENTE TANCUAYALAB,14,,732,,127,2738,304,3901,,12,12,25,,,25,,,24,,,71,,,3,,,4,,,1,,,12,,,165,4092
,,39  TAMPAMOLÓN CORONA,12,,1469,,214,2892,605,5180,,2,2,5,,,18,,,13,,,38,,5,2,,,5,,,1,,,8,,,95,5289
,,41  TANLAJÁS,26,,895,,338,3959,895,6087,,1,1,27,,5,35,,5,21,,,36,,3,16,,,12,,,3,,1,12,,,176,6290
,,42  TANQUIÁN DE ESCOBEDO,5,,583,,57,1684,148,2472,,6,6,33,,,23,,,5,,,12,,,3,,,1,,,1,,,6,,,84,2567
,,Total,144,,16699,,4527,25744,5354,52324,,41,41,149,,12,242,,21,141,,7,375,,42,52,,3,71,,6,51,,4,99,,8,1283,53792
,Total,,2300,3500,152257,275,28686,354660,47029,586407,698,945,1643,608,106,248,1181,281,732,1374,226,787,2935,679,1828,686,82,304,528,73,286,1106,154,528,1106,253,549,16640,606990
25 SINALOA,1  LOS MOCHIS,1   AHOME,193,1000,10200,688,4098,20060,11954,48000,158,,158,108,24,131,157,32,149,200,50,230,350,36,159,117,20,125,145,24,112,195,40,216,176,16,110,2922,51273
,,10  EL FUERTE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,Total,195,1000,10200,688,4098,20060,11954,48000,158,,158,108,24,131,157,32,149,200,50,230,350,36,159,117,20,125,145,24,112,195,40,216,176,16,110,2922,51275
,2  GUASAVE,11  GUASAVE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,17  SINALOA,,444,,118,,29670,11768,42000,,,,,401,,,628,,,498,,,802,,,159,,,190,,,263,,,363,,3304,45304
,,Total,8,444,,118,,29670,11768,42000,,,,,401,,,628,,,498,,,802,,,159,,,190,,,263,,,363,,3304,45312
,3  GUAMUCHIL,13  MOCORITO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,15  SALVADOR ALVARADO,,,,,,12684,7316,20000,,346,346,,36,,,124,19,,337,74,,1097,284,,70,,,81,,,100,11,,380,107,2720,23066
,,Total,1,,,,,12684,7316,20000,,346,346,,36,,,124,19,,337,74,,1097,284,,70,,,81,,,100,11,,380,107,2720,23067
